Treatment_Number,Animal_ID,Condition_Type,Treatment_Date,Treatment_Time,Treatment_By,Treatment_Type,Treatment_Subtype,Number_of_Days,Weight,Temperature,Visit_Number,Visit_Type,Visit_Reason,Month,Year
T19-959450,A1063375,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,03:34:00,LHAYES,,,,,,T19-959450,INTAKE EXAM,,APR.2019,FY2019
T19-959455,A1063376,,04/07/2019,03:47:19.267000,,,,1,,,T19-959454,,,APR.2019,FY2019
T19-959452,A1063375,,04/07/2019,03:34:53.770000,,,,1,,,T19-959450,,,APR.2019,FY2019
T19-959453,A1063375,,04/07/2019,03:35:01.850000,,,,1,,,T19-959450,,,APR.2019,FY2019
T19-959456,A1063376,,04/07/2019,03:47:25.973000,,,,1,,,T19-959454,,,APR.2019,FY2019
T19-924766,A1059604,,02/27/2019,23:06:44.813000,,,,1,,,T19-924764,,,FEB.2019,FY2019
T19-953532,A1062758,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/31/2019,12:45:00,OB,,,,49.2,,T19-953532,INTAKE EXAM,,MAR.2019,FY2019
T19-924778,A0759460,,02/27/2019,23:21:25.747000,,,,1,,,T19-924774,,,FEB.2019,FY2019
T19-953589,A1062763,,03/31/2019,13:22:35.837000,,,,1,,,T19-953587,,,MAR.2019,FY2019
T19-953551,A1062725,,03/31/2019,12:54:04.237000,,,,15,,,T19-953544,,,MAR.2019,FY2019
T19-953537,A1062758,,03/31/2019,12:48:50.880000,,,,1,,,T19-953532,,,MAR.2019,FY2019
T19-941129,A1061359,,03/18/2019,18:04:19.103000,,,,1,,,T19-941124,,,MAR.2019,FY2019
T19-953538,A1062758,,03/31/2019,12:48:57.960000,,,,1,,,T19-953532,,,MAR.2019,FY2019
T19-959461,A1063378,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,04/07/2019,04:32:00,LHAYES,,,,,,T19-959461,INTAKE EXAM,,APR.2019,FY2019
T19-953588,A1062763,,03/31/2019,13:22:31.820000,,,,1,,,T19-953587,,,MAR.2019,FY2019
T19-959467,A1063337,,04/06/2019,04:40:15.160000,,,,1,,,T19-959465,,,APR.2019,FY2019
T19-959466,A1063337,,04/06/2019,04:40:07.737000,,,,1,,,T19-959465,,,APR.2019,FY2019
T19-959468,A1063337,,04/06/2019,04:40:19.980000,,,,1,,,T19-959465,,,APR.2019,FY2019
T19-959465,A1063337,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/06/2019,20:00:00,TM1736,,,,,,T19-959465,INTAKE EXAM,,APR.2019,FY2019
T19-953591,A1062763,,03/31/2019,13:22:43.420000,,,,1,,,T19-953587,,,MAR.2019,FY2019
T19-959464,A1063378,,04/07/2019,04:33:18.390000,,,,1,,,T19-959461,,,APR.2019,FY2019
T19-959463,A1063378,,04/07/2019,04:33:11.160000,,,,1,,,T19-959461,,,APR.2019,FY2019
T19-959462,A1063378,,04/07/2019,04:33:01.817000,,,,1,,,T19-959461,,,APR.2019,FY2019
T19-926993,A1059704,,03/02/2019,13:20:14.640000,,,,1,,,T19-926989,,,MAR.2019,FY2019
T19-933452,A1059704,UNKNOWN,03/09/2019,16:40:00,AG,,,,,,T19-933452,VET CHECK,,MAR.2019,FY2019
T19-953536,A1062758,,03/31/2019,12:48:39.807000,,,,1,,,T19-953532,,,MAR.2019,FY2019
T19-926994,A1059704,,03/02/2019,13:20:21.560000,,,,3,,,T19-926989,,,MAR.2019,FY2019
T19-941424,A1059704,TREATABLE REHABILITABLE CONTAGIOUS,03/19/2019,08:21:00,LS/LV,,,,,,T19-941424,VET CHECK,,MAR.2019,FY2019
T19-940993,A1059704,UNKNOWN,03/18/2019,15:07:00,,,,,,,T19-940993,VET CHECK,,MAR.2019,FY2019
T19-946998,A1059940,UNKNOWN,03/24/2019,16:47:00,AG,,,,,,T19-946998,VET CHECK,,MAR.2019,FY2019
T19-953592,A1062763,,03/31/2019,13:22:46.390000,,MICROCHIP (24HR PET WATCH),,,,,T19-953587,,,MAR.2019,FY2019
T19-959469,A1062968,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,07:36:00,,,,,12.4,,T19-959469,VET CHECK,,APR.2019,FY2019
T19-950265,A1062360,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/27/2019,14:29:00,,,,,,,T19-950265,HISTORY,,MAR.2019,FY2019
T19-949396,A1062360,,03/26/2019,17:46:39.060000,,,,1,,,T19-949393,,,MAR.2019,FY2019
T19-925543,A1059704,,02/28/2019,19:41:27.650000,,,,1,,,T19-925538,,,FEB.2019,FY2019
T19-926992,A1059704,,03/02/2019,13:20:07.170000,,,,1,,,T19-926989,,,MAR.2019,FY2019
T19-926990,A1059704,,03/02/2019,13:19:37.403000,,,,1,,,T19-926989,,,MAR.2019,FY2019
T19-942123,A1059704,,03/19/2019,13:57:09.587000,,,,1,,,T19-941424,,,MAR.2019,FY2019
T19-953590,A1062763,,03/31/2019,13:22:39.097000,,,,1,,,T19-953587,,,MAR.2019,FY2019
T19-941553,A1059704,,03/19/2019,10:18:11.143000,,,,15,,,T19-941424,,,MAR.2019,FY2019
T19-953545,A1062725,,03/31/2019,12:52:46.213000,,,,14,,,T19-953544,,,MAR.2019,FY2019
T19-959471,A1063352,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,08:23:00,LS,,,,,,T19-959471,MEDICAL REVIEW,,APR.2019,FY2019
T19-935975,A1060619,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,03/12/2019,14:02:00,LV,,,,,,T19-935975,EXAM-VISUAL,BEHAVIORAL,MAR.2019,FY2019
T19-953535,A1062758,,03/31/2019,12:48:36.337000,,,,1,,,T19-953532,,,MAR.2019,FY2019
T19-949395,A1062360,,03/26/2019,17:46:33.953000,,,,1,,,T19-949393,,,MAR.2019,FY2019
T19-935151,A1059704,UNKNOWN,03/11/2019,17:44:00,AG,,,,,,T19-935151,VET CHECK,,MAR.2019,FY2019
T19-925541,A1059704,,02/28/2019,19:41:18.560000,,HEARTWORM TEST,NEGATIVE,,,,T19-925538,,,FEB.2019,FY2019
T19-925547,A1059704,,02/28/2019,19:41:40.130000,,,,1,,,T19-925538,,,FEB.2019,FY2019
T19-935987,A1060617,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,03/12/2019,14:16:00,LV,,,,,,T19-935987,EXAM-VISUAL,BEHAVIORAL,MAR.2019,FY2019
T19-957817,A1062360,UNKNOWN,04/05/2019,08:33:00,,,,,,,T19-957817,VET CHECK,,APR.2019,FY2019
T19-926991,A1059704,,03/02/2019,13:19:42.677000,,,,1,,,T19-926989,,,MAR.2019,FY2019
T19-949394,A1062360,,03/26/2019,17:46:28.400000,,,,1,,,T19-949393,,,MAR.2019,FY2019
T19-925538,A1059704,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/28/2019,19:39:00,NG,,,,28,,T19-925538,INTAKE EXAM,,FEB.2019,FY2019
T19-950050,A1059704,UNKNOWN,03/27/2019,13:13:00,,,,,,,T19-950050,VET CHECK,,MAR.2019,FY2019
T19-949393,A1062360,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,17:45:00,LS,,,,1,,T19-949393,EXAM - ADOPTION,,MAR.2019,FY2019
T19-949398,A1062360,,03/26/2019,17:46:46.203000,,MICROCHIP (24HR PET WATCH),,,,,T19-949393,,,MAR.2019,FY2019
T19-953531,A1061847,UNKNOWN,03/31/2019,12:46:00,,,,,,,T19-953531,VET CHECK,,MAR.2019,FY2019
T19-935668,A1059704,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/12/2019,11:31:00,AG,,,,,,T19-935668,EXAM-VISUAL,,MAR.2019,FY2019
T19-947669,A1062219,,03/25/2019,15:09:03.167000,,,,1,,,T19-947664,,,MAR.2019,FY2019
T19-925544,A1059704,,02/28/2019,19:41:29.993000,,,,1,,,T19-925538,,,FEB.2019,FY2019
T19-925542,A1059704,,02/28/2019,19:41:22.193000,,,,1,,,T19-925538,,,FEB.2019,FY2019
T19-941128,A1061359,,03/18/2019,18:04:11.527000,,,,1,,,T19-941124,,,MAR.2019,FY2019
T19-957903,A1062360,,04/05/2019,11:45:06.377000,,FECAL,,,,,T19-957817,,,APR.2019,FY2019
T19-950690,A1062360,UNKNOWN,03/27/2019,09:35:00,,,,,,,T19-950690,HISTORY,,MAR.2019,FY2019
T19-959473,A1062360,UNKNOWN,04/07/2019,08:26:00,,,,,,,T19-959473,VET CHECK,,APR.2019,FY2019
T19-925540,A1059704,,02/28/2019,19:41:15.810000,,MICROCHIP (24HR PET WATCH),,,,,T19-925538,,,FEB.2019,FY2019
T19-957836,A1062360,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,10:44:00,DT,,,,0.9,,T19-957836,EXAM,,APR.2019,FY2019
T19-949397,A1062360,,03/26/2019,17:46:43.043000,,,,1,,,T19-949393,,,MAR.2019,FY2019
T19-947665,A1062219,,03/25/2019,15:08:38.517000,,,,1,,,T19-947664,,,MAR.2019,FY2019
T19-941554,A1059704,,03/19/2019,10:18:19.620000,,,,15,,,T19-941424,,,MAR.2019,FY2019
T19-925546,A1059704,,02/28/2019,19:41:34.400000,,,,1,,,T19-925538,,,FEB.2019,FY2019
T19-953540,A1062758,,03/31/2019,12:49:09.287000,,HEARTWORM TEST,NEGATIVE,,,,T19-953532,,,MAR.2019,FY2019
T19-941127,A1061359,,03/18/2019,18:04:08.170000,,,,1,,,T19-941124,,,MAR.2019,FY2019
T19-926989,A1059704,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/02/2019,13:16:00,PA,,,,30.4,,T19-926989,SURGERY-,,MAR.2019,FY2019
T19-950691,A1062360,,03/27/2019,09:36:19.773000,,,,2,,,T19-950690,,,MAR.2019,FY2019
T19-953539,A1062758,,03/31/2019,12:49:02.783000,,MICROCHIP (24HR PET WATCH),,,,,T19-953532,,,MAR.2019,FY2019
T19-953552,A1062758,UNKNOWN,03/31/2019,12:45:00,OB,,,,49.2,,T19-953552,MEDICAL REVIEW,,MAR.2019,FY2019
T19-947671,A1062219,,03/25/2019,15:09:26.353000,,MICROCHIP (24HR PET WATCH),,,,,T19-947664,,,MAR.2019,FY2019
T19-947667,A1062219,,03/25/2019,15:08:52.230000,,,,1,,,T19-947664,,,MAR.2019,FY2019
T19-941125,A1061359,,03/18/2019,18:03:57.290000,,,,1,,,T19-941124,,,MAR.2019,FY2019
T19-871242,A1053777,,01/01/2019,17:08:02.073000,,,,1,,,T19-871240,,,JAN.2019,FY2019
T19-953593,A1062763,,03/31/2019,13:22:54.417000,,FELV SNAP TEST,NEGATIVE,,,,T19-953587,,,MAR.2019,FY2019
T19-930955,A1053777,,03/06/2019,17:03:06.507000,,,,10,,,T19-930930,,,MAR.2019,FY2019
T19-930933,A1053777,,03/06/2019,16:49:55.703000,,,,10,,,T19-930930,,,MAR.2019,FY2019
T19-947664,A1062219,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/25/2019,15:07:00,LV,,,,45.6,,T19-947664,INTAKE EXAM,,MAR.2019,FY2019
T19-959470,A1063350,UNKNOWN,04/06/2019,17:52:00,,,,,,,T19-959470,MEDICAL REVIEW,,APR.2019,FY2019
T19-959474,A1062964,,04/07/2019,08:46:12.960000,,,,1,,,T19-959425,,,APR.2019,FY2019
T19-959480,A1060798,,04/07/2019,09:22:53.450000,,,,1,,,T19-959478,,,APR.2019,FY2019
T19-935983,A1060616,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,03/12/2019,14:15:00,LV,,,,,,T19-935983,EXAM-VISUAL,BEHAVIORAL,MAR.2019,FY2019
T19-871243,A1053777,,01/01/2019,17:08:05.523000,,,,1,,,T19-871240,,,JAN.2019,FY2019
T19-959477,A1060797,,04/07/2019,09:22:09.327000,,,,1,,,T19-959472,,,APR.2019,FY2019
T19-871246,A1053777,UNKNOWN,01/01/2019,17:06:00,,,,,43.4,,T19-871246,VET CHECK,,JAN.2019,FY2019
T19-871240,A1053777,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/01/2019,17:06:00,DT1757,,,,43.4,,T19-871240,INTAKE EXAM,,JAN.2019,FY2019
T19-959479,A1060798,,04/07/2019,09:22:45.963000,,,,1,,,T19-959478,,,APR.2019,FY2019
T19-941132,A1061359,,03/18/2019,18:04:42.003000,,HEARTWORM TEST,LOW POSITIVE,,,,T19-941124,,,MAR.2019,FY2019
T19-941130,A1061359,,03/18/2019,18:04:27.283000,,,,1,,,T19-941124,,,MAR.2019,FY2019
T19-941124,A1061359,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/18/2019,18:02:00,OB,,,,55.4,,T19-941124,INTAKE EXAM,,MAR.2019,FY2019
T19-959475,A1062964,,04/07/2019,08:46:24.063000,,,,3,,,T19-959425,,,APR.2019,FY2019
T19-871581,A1053777,,01/02/2019,12:00:37.790000,,HEARTWORM TEST,HIGH POSITIVE,,,,T19-871574,,,JAN.2019,FY2019
T19-884173,A1053777,,01/15/2019,08:55:21.063000,,,,1,,,T19-884172,,,JAN.2019,FY2019
T19-871241,A1053777,,01/01/2019,17:07:58.387000,,,,1,,,T19-871240,,,JAN.2019,FY2019
T19-930930,A1053777,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/06/2019,16:48:00,LS/DEON,,,,44.8,101.7,T19-930930,EXAM-VET,HW TREATMENT,MAR.2019,FY2019
T19-930931,A1053777,,03/06/2019,16:49:32.517000,,,,1,,,T19-930930,,,MAR.2019,FY2019
T19-959478,A1060798,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,09:22:00,,,,,,,T19-959478,MEDICAL REVIEW,,APR.2019,FY2019
T19-871244,A1053777,,01/01/2019,17:08:11.960000,,,,1,,,T19-871240,,,JAN.2019,FY2019
T19-947670,A1062219,,03/25/2019,15:09:19.870000,,,,1,,,T19-947664,,,MAR.2019,FY2019
T19-930934,A1053777,,03/06/2019,16:50:47.950000,,,,1,,,T19-930930,,,MAR.2019,FY2019
T19-871579,A1053777,,01/02/2019,12:00:32.540000,,,,1,,,T19-871574,,,JAN.2019,FY2019
T19-930932,A1053777,,03/06/2019,16:49:38.157000,,,,1,,,T19-930930,,,MAR.2019,FY2019
T19-871574,A1053777,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/02/2019,11:59:00,SR,,,,43.4,,T19-871574,EXAM - ADOPTION,,JAN.2019,FY2019
T19-959472,A1060797,UNKNOWN,04/07/2019,08:23:00,,,,,,,T19-959472,MEDICAL REVIEW,,APR.2019,FY2019
T19-871577,A1053777,,01/02/2019,12:00:24.873000,,,,1,,,T19-871574,,,JAN.2019,FY2019
T19-884172,A1053777,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/15/2019,08:54:00,SR,,,,,,T19-884172,EXAM,,JAN.2019,FY2019
T19-959419,A0957354,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/06/2019,18:14:00,,,,,,,T19-959419,MEDICAL REVIEW,,APR.2019,FY2019
T19-947663,A1058399,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/25/2019,14:59:00,LS,,,,,,T19-947663,EXAM-VET,,MAR.2019,FY2019
T19-941131,A1061359,,03/18/2019,18:04:32.123000,,MICROCHIP (24HR PET WATCH),,,,,T19-941124,,,MAR.2019,FY2019
T19-953610,A1059604,,03/31/2019,13:36:31.417000,,FECAL,NEGATIVE,,,,T19-953609,,,MAR.2019,FY2019
T19-947668,A1062219,,03/25/2019,15:08:56.230000,,,,1,,,T19-947664,,,MAR.2019,FY2019
T19-958259,A1042873,UNKNOWN,04/05/2019,17:38:00,,,,,9.6,,T19-958259,MEDICAL REVIEW,,APR.2019,FY2019
T19-959476,A1060797,,04/07/2019,09:22:01.193000,,,,1,,,T19-959472,,,APR.2019,FY2019
T19-941238,A1061342,,03/18/2019,18:37:18.447000,,,,1,,,T19-941235,,,MAR.2019,FY2019
T19-930962,A1060221,,03/06/2019,17:07:59.880000,,,,1,,,T19-930956,,,MAR.2019,FY2019
T19-941244,A1061359,,03/18/2019,18:45:20.840000,,,,1,,,T19-941090,,,MAR.2019,FY2019
T19-930960,A1060221,,03/06/2019,17:07:51.463000,,,,1,,,T19-930956,,,MAR.2019,FY2019
T19-941316,A1061325,,03/18/2019,19:13:17.057000,,,,1,,,T19-941313,,,MAR.2019,FY2019
T19-941243,A1061359,,03/18/2019,18:43:49.307000,,X-RAY,,,,,T19-941090,,,MAR.2019,FY2019
T19-947672,A1062219,,03/25/2019,15:09:47.360000,,HEARTWORM TEST,NEGATIVE,,,,T19-947664,,,MAR.2019,FY2019
T19-947666,A1062219,,03/25/2019,15:08:44.440000,,,,1,,,T19-947664,,,MAR.2019,FY2019
T19-941250,A1061342,,03/18/2019,18:57:41.420000,,MICROCHIP (24HR PET WATCH),,,,,T19-941235,,,MAR.2019,FY2019
T19-941265,A1061359,,03/18/2019,19:01:00.190000,,,,15,,,T19-941090,,,MAR.2019,FY2019
T19-941253,A1061359,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/18/2019,17:09:00,LS,,,,55.4,,T19-941253,MEDICAL REVIEW,,MAR.2019,FY2019
T19-941236,A1061342,,03/18/2019,18:36:50.777000,,,,1,,,T19-941235,,,MAR.2019,FY2019
T19-941256,A1061359,,03/18/2019,19:00:17.033000,,,,15,,,T19-941090,,,MAR.2019,FY2019
T19-953609,A1059604,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/31/2019,13:35:00,LS,,,,,,T19-953609,EXAM,,MAR.2019,FY2019
T19-930958,A1060221,,03/06/2019,17:07:45.833000,,HEARTWORM TEST,NEGATIVE,,,,T19-930956,,,MAR.2019,FY2019
T19-953611,A1059604,,03/31/2019,13:36:51.503000,,,,3,,,T19-953609,,,MAR.2019,FY2019
T19-930959,A1060221,,03/06/2019,17:07:48,,,,1,,,T19-930956,,,MAR.2019,FY2019
T19-930957,A1060221,,03/06/2019,17:07:43.543000,,MICROCHIP (24HR PET WATCH),,,,,T19-930956,,,MAR.2019,FY2019
T19-941318,A1061325,,03/18/2019,19:13:26.327000,,,,1,,,T19-941313,,,MAR.2019,FY2019
T19-947760,A1062196,,03/25/2019,16:10:21.607000,,,,1,,,T19-947756,,,MAR.2019,FY2019
T19-910013,A1053400,,02/11/2019,14:54:04.777000,,HW MICROFILARIA TEST,NEGATIVE,,,,T19-910010,,,FEB.2019,FY2019
T19-879332,A1053400,TREATABLE REHABILITABLE CONTAGIOUS,01/10/2019,08:41:00,AG,,,,46,,T19-879332,VET CHECK,,JAN.2019,FY2019
T19-910010,A1053400,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/11/2019,14:48:00,LS,,,,56.8,102.3,T19-910010,EXAM-VET,HW TREATMENT,FEB.2019,FY2019
T19-941246,A1061359,,03/18/2019,18:45:55.333000,,,,1,,,T19-941090,,,MAR.2019,FY2019
T19-953630,A1062778,,03/31/2019,15:08:09.090000,,,,1,,,T19-953626,,,MAR.2019,FY2019
T19-953637,A1062775,,03/31/2019,15:10:41.163000,,,,1,,,T19-953635,,,MAR.2019,FY2019
T19-953651,A1062790,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/31/2019,15:16:00,LS,,,,62.6,,T19-953651,EXAM - ADOPTION,,MAR.2019,FY2019
T19-924943,A1059351,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/28/2019,10:18:00,VL,,,,58,,T19-924943,SURGERY-,,FEB.2019,FY2019
T19-924921,A1059337,,02/28/2019,10:02:19.343000,,,,3,,,T19-924916,,,FEB.2019,FY2019
T19-953627,A1062778,,03/31/2019,15:07:54.200000,,,,1,,,T19-953626,,,MAR.2019,FY2019
T19-953626,A1062778,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/31/2019,15:07:00,LS,,,,33.6,,T19-953626,EXAM - ADOPTION,,MAR.2019,FY2019
T19-953628,A1062778,,03/31/2019,15:07:59.453000,,,,1,,,T19-953626,,,MAR.2019,FY2019
T19-941321,A1061325,,03/18/2019,19:13:46.223000,,HEARTWORM TEST,LOW POSITIVE,,,,T19-941313,,,MAR.2019,FY2019
T19-953639,A1062775,,03/31/2019,15:10:48.353000,,,,1,,,T19-953635,,,MAR.2019,FY2019
T19-924920,A1059337,,02/28/2019,10:02:10.407000,,,,1,,,T19-924916,,,FEB.2019,FY2019
T19-941314,A1061325,,03/18/2019,19:13:03.223000,,,,1,,,T19-941313,,,MAR.2019,FY2019
T19-953641,A1062775,,03/31/2019,15:11:07.680000,,FELV SNAP TEST,NEGATIVE,,,,T19-953635,,,MAR.2019,FY2019
T19-953633,A1062778,,03/31/2019,15:08:21.363000,,MICROCHIP (24HR PET WATCH),,,,,T19-953626,,,MAR.2019,FY2019
T19-953655,A1062790,,03/31/2019,15:17:08.630000,,,,1,,,T19-953651,,,MAR.2019,FY2019
T19-947757,A1062196,,03/25/2019,16:10:13.367000,,,,1,,,T19-947756,,,MAR.2019,FY2019
T19-953653,A1062790,,03/31/2019,15:17:00.237000,,,,1,,,T19-953651,,,MAR.2019,FY2019
T19-941247,A1059655,UNKNOWN,03/18/2019,18:45:00,AG,,,,,,T19-941247,VET CHECK,,MAR.2019,FY2019
T19-941248,A1061342,,03/18/2019,18:57:31.047000,,,,1,,,T19-941235,,,MAR.2019,FY2019
T19-953659,A1062790,,03/31/2019,15:17:28.813000,,HEARTWORM TEST,NEGATIVE,,,,T19-953651,,,MAR.2019,FY2019
T19-953632,A1062778,,03/31/2019,15:08:18.193000,,,,1,,,T19-953626,,,MAR.2019,FY2019
T19-953654,A1062790,,03/31/2019,15:17:03.557000,,,,1,,,T19-953651,,,MAR.2019,FY2019
T19-953656,A1062790,,03/31/2019,15:17:14.820000,,,,1,,,T19-953651,,,MAR.2019,FY2019
T19-924918,A1059337,,02/28/2019,10:01:56.267000,,,,1,,,T19-924916,,,FEB.2019,FY2019
T19-930956,A1060221,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/06/2019,17:06:00,ER,,,,68.9,,T19-930956,INTAKE EXAM,,MAR.2019,FY2019
T19-941267,A1061359,,03/18/2019,19:01:13.230000,,,,15,,,T19-941090,,,MAR.2019,FY2019
T19-953625,A1061220,UNKNOWN,03/31/2019,15:00:00,,,,,,,T19-953625,VET CHECK,,MAR.2019,FY2019
T19-924950,A1059351,,02/28/2019,10:19:14.540000,,,,1,,,T19-924943,,,FEB.2019,FY2019
T19-941245,A1061359,,03/18/2019,18:45:29.203000,,,,1,,,T19-941090,,,MAR.2019,FY2019
T19-930964,A1060221,,03/06/2019,17:08:14.270000,,,,1,,,T19-930956,,,MAR.2019,FY2019
