Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-759227,A1043018,,9/11/2018,14:12.3,,HEARTWORM TEST,NEGATIVE,,,,T18-759224,,,SEP.2018,FY2018
T18-779879,A1045045,,9/29/2018,31:10.3,,,,1,,,T18-779876,,,SEP.2018,FY2018
T18-779020,A1041513,,9/29/2018,05:51.8,,,,1,,,T18-779014,,,SEP.2018,FY2018
T18-769432,A1044078,,9/20/2018,45:31.5,,,,1,,,T18-768798,,,SEP.2018,FY2018
T18-780300,A1045073,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,12:48:00,ASB1579,,,,12.4,,T18-780300,EXAM-VET,,SEP.2018,FY2018
T18-763053,A1036772,,9/14/2018,55:39.8,,,,1,,,T18-763051,,,SEP.2018,FY2018
T18-776729,A1044475,,9/27/2018,16:18.6,,,,1,,,T18-776727,,,SEP.2018,FY2018
T18-778299,A1041745,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,12:57:00,LS,,,,1.9,,T18-778299,EXAM,,SEP.2018,FY2018
T18-776816,A1044362,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,11:32:00,PA,,,,51.8,,T18-776816,SURGERY-,,SEP.2018,FY2018
T18-769749,A1042895,TREATABLE REHABILITABLE CONTAGIOUS,9/20/2018,16:40:00,OB,,,,0.8,,T18-769749,EXAM-VISUAL,,SEP.2018,FY2018
T18-777585,A1044819,,9/27/2018,04:48.0,,,,1,,,T18-777582,,,SEP.2018,FY2018
T18-767160,A1043284,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/13/2018,14:47:00,NG,,,,,,T18-767160,MEDICAL REVIEW,,SEP.2018,FY2018
T18-767221,A1043787,,9/19/2018,17:43.1,,,,1,,,T18-767218,,,SEP.2018,FY2018
T18-771392,A1044265,,9/22/2018,12:57.8,,,,1,,,T18-771388,,,SEP.2018,FY2018
T18-775504,A1044242,,9/26/2018,15:51.0,,,,1,,,T18-775499,,,SEP.2018,FY2018
T18-623278,A1029751,,5/14/2018,25:46.5,,HEARTWORM TEST,HIGH POSITIVE,,,,T18-623266,,,MAY.2018,FY2018
T18-691618,A1036747,,7/14/2018,19:14.9,,,,3,,,T18-691611,,,JUL.2018,FY2018
T18-743104,A1041626,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/27/2018,12:29:00,SR,,,,1.2,,T18-743104,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-755358,A1042683,,9/7/2018,31:49.0,,,,1,,,T18-755353,,,SEP.2018,FY2018
T18-776621,A1044771,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,8:28:00,LV,,,,,,T18-776621,EXAM-VET,,SEP.2018,FY2018
T18-747424,A1041989,,8/31/2018,22:34.3,,,,1,,,T18-747421,,,AUG.2018,FY2018
T18-653651,A1032573,,6/11/2018,34:41.6,,,,1,,,T18-653648,,,JUN.2018,FY2018
T18-778844,A1043521,TREATABLE REHABILITABLE CONTAGIOUS,9/28/2018,17:25:00,LV,,,,41,,T18-778844,MEDICAL REVIEW,,SEP.2018,FY2018
T18-776348,A1044729,TREATABLE REHABILITABLE CONTAGIOUS,9/26/2018,18:22:00,LV,,,,3.2,,T18-776348,INTAKE EXAM,,SEP.2018,FY2018
T18-767222,A1043787,,9/19/2018,17:52.9,,,,1,,,T18-767218,,,SEP.2018,FY2018
T18-777303,A1044560,,9/27/2018,22:22.1,,,,1,,,T18-777293,,,SEP.2018,FY2018
T18-769931,A1044140,,9/20/2018,16:22.8,,,,1,,,T18-769927,,,SEP.2018,FY2018
T18-762432,A1043430,,9/14/2018,14:33.0,,HEARTWORM TEST,NEGATIVE,,,,T18-762414,,,SEP.2018,FY2018
T18-777310,A1044809,,9/27/2018,24:30.6,,,,1,,,T18-777307,,,SEP.2018,FY2018
T18-769856,A1044115,,9/20/2018,18:59.7,,,,1,,,T18-769853,,,SEP.2018,FY2018
T18-618398,A1028950,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/8/2018,16:43:00,,,,,,,T18-618398,SURGERY-,,MAY.2018,FY2018
T18-778039,A1040858,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,11:20:00,LS,,,,,,T18-778039,EXAM,,SEP.2018,FY2018
T18-771078,A1044240,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,17:22:00,NG,,,,10,,T18-771078,INTAKE EXAM,,SEP.2018,FY2018
T18-776092,A1044701,,9/26/2018,20:50.8,,,,1,,,T18-776091,,,SEP.2018,FY2018
T18-778725,A1044929,,9/28/2018,37:46.5,,HW MICROFILARIA TEST,POSITIVE,,,,T18-778722,,,SEP.2018,FY2018
T18-773512,A1044502,,9/24/2018,24:48.1,,MICROCHIP (24HR PET WATCH),,,,,T18-773511,,,SEP.2018,FY2018
T18-775060,A0903696,,9/25/2018,16:47.2,,,,1,,,T18-775054,,,SEP.2018,FY2018
T18-770946,A1042967,TREATABLE REHABILITABLE CONTAGIOUS,9/21/2018,16:22:00,AG,,,,,,T18-770946,MEDICAL REVIEW,,SEP.2018,FY2018
T18-777668,A1044839,,9/27/2018,41:13.0,,HEARTWORM TEST,NEGATIVE,,,,T18-777663,,,SEP.2018,FY2018
T18-748898,A1023787,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/1/2018,15:58:00,NG,,,,76,,T18-748898,INTAKE EXAM,,SEP.2018,FY2018
T18-776818,A1044362,,9/27/2018,33:41.1,,,,1,,,T18-776816,,,SEP.2018,FY2018
T18-767248,A1043787,,9/18/2018,43:42.7,,,,1,,,T18-765888,,,SEP.2018,FY2018
T18-742443,A1041516,UNKNOWN,8/26/2018,0:00:00,,,,,,,T18-742443,EXAM-VISUAL,,AUG.2018,FY2018
T18-777228,A1040765,,9/27/2018,58:28.1,,,,1,,,T18-777227,,,SEP.2018,FY2018
T18-780622,A1045110,,9/30/2018,17:45.6,,,,1,,,T18-780593,,,SEP.2018,FY2018
T18-757727,A1042786,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/10/2018,15:05:00,SR,,,,26.6,,T18-757727,EXAM - ADOPTION,,SEP.2018,FY2018
T18-768572,A1044041,,9/19/2018,11:16.2,,,,1,,,T18-768571,,,SEP.2018,FY2018
T18-780135,A1044905,,9/30/2018,18:14.9,,HEARTWORM TEST,NEGATIVE,,,,T18-780132,,,SEP.2018,FY2018
T18-757080,A1042597,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/9/2018,17:18:00,LS,,,,,,T18-757080,EXAM,,SEP.2018,FY2018
T18-776283,A1044733,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,17:49:00,NG,,,,1,,T18-776283,INTAKE EXAM,,SEP.2018,FY2018
T18-760703,A1043188,,9/13/2018,22:49.9,,,,1,,,T18-760702,,,SEP.2018,FY2018
T18-751123,A1042113,,9/4/2018,13:47.3,,,,1,,,T18-751121,,,SEP.2018,FY2018
T18-777831,A1044873,,9/28/2018,10:41.9,,,,1,,,T18-777829,,,SEP.2018,FY2018
T18-765991,A1039618,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,11:00:00,LS,,,,1.5,,T18-765991,EXAM,,SEP.2018,FY2018
T18-758932,A1043018,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/11/2018,14:20:00,RM1702,,,,48,,T18-758932,INTAKE EXAM,,SEP.2018,FY2018
T18-763247,A1043474,,9/15/2018,53:41.1,,,,1,,,T18-763243,,,SEP.2018,FY2018
T18-776433,A1044585,,9/25/2018,33:01.4,,,,1,,,T18-774213,,,SEP.2018,FY2018
T18-780729,A1045113,,9/30/2018,17:23.3,,,,1,,,T18-780726,,,SEP.2018,FY2018
T18-770786,A1044171,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,15:15:00,RM1702,,,,41.6,,T18-770786,INTAKE EXAM,,SEP.2018,FY2018
T18-772735,A1044246,,9/23/2018,33:59.3,,,,1,,,T18-772732,,,SEP.2018,FY2018
T18-779028,A1041514,,9/29/2018,08:31.5,,,,1,,,T18-779023,,,SEP.2018,FY2018
T18-778733,A1043325,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,16:41:00,LV,,,,50.4,,T18-778733,EXAM-VET,,SEP.2018,FY2018
T18-779529,A1044998,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,14:07:00,NG/ER,,,,5.6,,T18-779529,INTAKE EXAM,,SEP.2018,FY2018
T18-768186,A1043936,,9/19/2018,57:14.4,,,,1,,,T18-768175,,,SEP.2018,FY2018
T18-771793,A1040044,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,13:54:00,LV/DT,,,,1.9,,T18-771793,EXAM-VISUAL,,SEP.2018,FY2018
T18-710519,A1038741,,7/31/2018,53:06.7,,,,1,,,T18-710512,,,JUL.2018,FY2018
T18-777662,A1044730,TREATABLE MANAGEABLE CONTAGIOUS,9/27/2018,18:15:00,,,,,,,T18-777662,EXAM-VET,,SEP.2018,FY2018
T18-780575,A0942995,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/30/2018,15:56:00,,,,,53.6,,T18-780575,MEDICAL REVIEW,,SEP.2018,FY2018
T18-778656,A1044921,,9/28/2018,36:38.5,,HEARTWORM TEST,NEGATIVE,,,,T18-778652,,,SEP.2018,FY2018
T18-748126,A0867191,,8/31/2018,52:04.2,,,,1,,,T18-748125,,,AUG.2018,FY2018
T18-775306,A1044657,,9/25/2018,36:41.7,,,,1,,,T18-775304,,,SEP.2018,FY2018
T18-721557,A1038741,TREATABLE REHABILITABLE CONTAGIOUS,8/9/2018,13:30:00,AG,,,,7,,T18-721557,MEDICAL REVIEW,,AUG.2018,FY2018
T18-752471,A1041518,,9/5/2018,31:39.1,,,,14,,,T18-752470,,,SEP.2018,FY2018
T18-756003,A1040044,,9/8/2018,34:49.1,,,,1,,,T18-756000,,,SEP.2018,FY2018
T18-760099,A1043194,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/12/2018,15:14:00,SR,,,,55.8,,T18-760099,INTAKE EXAM,,SEP.2018,FY2018
T18-779475,A1044961,,9/29/2018,46:55.4,,,,1,,,T18-779474,,,SEP.2018,FY2018
T18-777580,A1044778,,9/27/2018,03:20.9,,,,1,,,T18-777572,,,SEP.2018,FY2018
T18-638815,A1030839,,5/28/2018,55:31.0,,,,1,,,T18-638811,,,MAY.2018,FY2018
T18-776575,A1044756,,9/27/2018,46:54.4,,,,1,,,T18-776574,,,SEP.2018,FY2018
T18-771634,A1040394,,9/22/2018,57:24.8,,,,1,,,T18-771633,,,SEP.2018,FY2018
T18-769246,A1044091,UNKNOWN,9/20/2018,13:37:00,NG/ER,,,,,,T18-769246,VET CHECK,,SEP.2018,FY2018
T18-768792,A1043852,,9/20/2018,28:16.9,,,,1,,,T18-768790,,,SEP.2018,FY2018
T18-741938,A1041513,,8/25/2018,03:15.5,,,,1,,,T18-741933,,,AUG.2018,FY2018
T18-553648,A0998346,,2/24/2018,12:32.0,,,,1,,,T18-553647,,,FEB.2018,FY2018
T18-730201,A1040548,,8/15/2018,49:46.5,,,,1,,,T18-730200,,,AUG.2018,FY2018
T18-761557,A1043245,,9/13/2018,12:24.1,,,,1,,,T18-761555,,,SEP.2018,FY2018
T18-777868,A1044771,UNHEALTHY UNTREATABLE CONTAGIOUS,9/27/2018,2:43:00,,,,,,,T18-777868,VET CHECK,,SEP.2018,FY2018
T18-777902,A1044865,,9/28/2018,38:46.8,,,,1,,,T18-777901,,,SEP.2018,FY2018
T18-770399,A1041518,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,11:59:00,AG,,,,2.7,99.8,T18-770399,EXAM-VET,,SEP.2018,FY2018
T18-764486,A0862164,,9/16/2018,54:38.8,,,,1,,,T18-764481,,,SEP.2018,FY2018
T18-778664,A1044768,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,14:05:00,LV,,,,11,,T18-778664,MEDICAL REVIEW,,SEP.2018,FY2018
T18-779041,A1042065,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,10:16:00,PA,,,,2.3,,T18-779041,SURGERY-,,SEP.2018,FY2018
T18-756608,A1041948,,9/9/2018,10:39.4,,,,1,,,T18-756605,,,SEP.2018,FY2018
T18-776690,A1044766,,9/27/2018,58:55.4,,HEARTWORM TEST,NEGATIVE,,,,T18-776678,,,SEP.2018,FY2018
T18-704131,A1038117,,7/25/2018,54:22.5,,,,3,,,T18-704129,,,JUL.2018,FY2018
T18-769850,A1044110,,9/20/2018,16:51.0,,,,1,,,T18-769844,,,SEP.2018,FY2018
T18-779087,A1044844,,9/29/2018,35:02.0,,,,1,,,T18-779083,,,SEP.2018,FY2018
T18-779842,A1008585,,9/29/2018,07:45.6,,,,1,,,T18-779838,,,SEP.2018,FY2018
T18-775232,A1044642,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,17:53:00,JS1753,,,,,,T18-775232,INTAKE EXAM,,SEP.2018,FY2018
T18-599518,A1027188,,4/17/2018,43:57.1,,,,1,,,T18-599514,,,APR.2018,FY2018
T18-723884,A1038117,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/11/2018,12:49:00,LV,,,,0.8,100.5,T18-723884,EXAM-VET,,AUG.2018,FY2018
T18-778813,A1044346,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,17:02:00,,,,,,,T18-778813,SURGERY EXM,,SEP.2018,FY2018
T18-774060,A1044524,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,0:07:00,AT1754,,,,,,T18-774060,INTAKE EXAM,,SEP.2018,FY2018
T18-777574,A1044778,,9/27/2018,02:30.3,,,,1,,,T18-777572,,,SEP.2018,FY2018
T18-769934,A1043923,,9/20/2018,17:39.1,,MICROCHIP (24HR PET WATCH),,,,,T18-769933,,,SEP.2018,FY2018
T18-762592,A1043419,,9/14/2018,44:15.4,,,,1,,,T18-762589,,,SEP.2018,FY2018
T18-771646,A1044292,,9/22/2018,13:03:14,,,,1,,,T18-771644,,,SEP.2018,FY2018
T17-475590,A1014334,,11/19/2017,37:33.8,,MICROCHIP (HOME AGAIN),9.85112E+14,,,,T17-475589,,,NOV.2017,FY2018
T18-778431,A1044528,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,13:37:00,PA,,,,4.8,,T18-778431,SURGERY-,,SEP.2018,FY2018
T18-775017,A1044603,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,15:51:00,TH1725,,,,92.4,,T18-775017,INTAKE EXAM,,SEP.2018,FY2018
T18-780714,A1045105,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,17:13:00,NG,,,,15.2,,T18-780714,EXAM - ADOPTION,,SEP.2018,FY2018
T18-772284,A1044273,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,17:51:00,NG,,,,17.1,,T18-772284,EXAM - ADOPTION,,SEP.2018,FY2018
T18-775629,A0998346,,9/26/2018,51:51.0,,,,1,,,T18-775621,,,SEP.2018,FY2018
T18-755398,A1040389,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/7/2018,18:15:00,LV,,,,,,T18-755398,EXAM-VISUAL,,SEP.2018,FY2018
T18-769089,A1044038,,9/20/2018,00:12.3,,,,1,,,T18-769088,,,SEP.2018,FY2018
T18-756008,A1040045,,9/8/2018,39:19.3,,,,1,,,T18-756005,,,SEP.2018,FY2018
T18-654033,A1032954,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/11/2018,13:43:00,ER,,,,2.8,,T18-654033,INTAKE EXAM,,JUN.2018,FY2018
T18-780290,A1045071,,9/30/2018,46:14.7,,,,1,,,T18-780286,,,SEP.2018,FY2018
T18-732455,A1040548,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/17/2018,15:04:00,PA,,,,7,,T18-732455,SURGERY-,,AUG.2018,FY2018
T18-776212,A1044723,,9/26/2018,58:04.2,,,,1,,,T18-776209,,,SEP.2018,FY2018
T18-770675,A1044208,,9/21/2018,21:05.4,,,,1,,,T18-770668,,,SEP.2018,FY2018
T18-754286,A1042065,TREATABLE REHABILITABLE CONTAGIOUS,9/6/2018,17:21:00,AG,,,,,,T18-754286,EXAM-VET,,SEP.2018,FY2018
T18-545302,A1021571,,2/14/2018,05:56.5,,MICROCHIP (HOME AGAIN),,,,,T18-545295,,,FEB.2018,FY2018
